Tag Name,Value,Timestamp
BLDC rpm select,500,23 Feb 2017 16:12:58:84  
BLDC rpm select,500,23 Feb 2017 16:12:58:349  
BLDC rpm select,500,23 Feb 2017 16:12:58:614  
BLDC rpm select,500,23 Feb 2017 16:12:58:879  
BLDC rpm select,500,23 Feb 2017 16:12:59:145  
BLDC rpm select,500,23 Feb 2017 16:12:59:410  
BLDC rpm select,500,23 Feb 2017 16:12:59:675  
BLDC rpm select,500,23 Feb 2017 16:12:59:940  
BLDC rpm select,500,23 Feb 2017 16:13:00:237  
BLDC rpm select,500,23 Feb 2017 16:13:00:471  
BLDC rpm select,500,23 Feb 2017 16:13:00:736  
BLDC rpm select,500,23 Feb 2017 16:13:01:1  
BLDC rpm select,500,23 Feb 2017 16:13:01:266  
BLDC rpm select,500,23 Feb 2017 16:13:01:531  
BLDC rpm select,500,23 Feb 2017 16:13:01:797  
BLDC rpm select,500,23 Feb 2017 16:13:02:62  
BLDC rpm select,500,23 Feb 2017 16:13:02:327  
BLDC rpm select,500,23 Feb 2017 16:13:02:592  
BLDC rpm select,500,23 Feb 2017 16:13:02:857  
BLDC rpm select,500,23 Feb 2017 16:13:03:123  
BLDC rpm select,500,23 Feb 2017 16:13:03:388  
BLDC rpm select,500,23 Feb 2017 16:13:03:653  
BLDC rpm select,500,23 Feb 2017 16:13:03:918  
BLDC rpm select,500,23 Feb 2017 16:13:04:183  
BLDC rpm select,500,23 Feb 2017 16:13:04:464  
BLDC rpm select,500,23 Feb 2017 16:13:04:714  
BLDC rpm select,500,23 Feb 2017 16:13:04:979  
BLDC rpm select,500,23 Feb 2017 16:13:05:244  
BLDC rpm select,500,23 Feb 2017 16:13:05:509  
BLDC rpm select,500,23 Feb 2017 16:13:05:775  
BLDC rpm select,500,23 Feb 2017 16:13:06:40  
BLDC rpm select,500,23 Feb 2017 16:13:06:305  
BLDC rpm select,500,23 Feb 2017 16:13:06:570  
BLDC rpm select,500,23 Feb 2017 16:13:06:835  
BLDC rpm select,500,23 Feb 2017 16:13:07:101  
BLDC rpm select,500,23 Feb 2017 16:13:07:366  
BLDC rpm select,500,23 Feb 2017 16:13:07:631  
BLDC rpm select,500,23 Feb 2017 16:13:07:896  
BLDC rpm select,500,23 Feb 2017 16:13:08:161  
BLDC rpm select,500,23 Feb 2017 16:13:08:427  
BLDC rpm select,500,23 Feb 2017 16:13:08:723  
BLDC rpm select,500,23 Feb 2017 16:13:08:958  
BLDC rpm select,500,23 Feb 2017 16:13:09:211  
BLDC rpm select,500,23 Feb 2017 16:13:09:476  
BLDC rpm select,500,23 Feb 2017 16:13:09:741  
BLDC rpm select,500,23 Feb 2017 16:13:10:6  
BLDC rpm select,500,23 Feb 2017 16:13:10:271  
BLDC rpm select,500,23 Feb 2017 16:13:10:537  
BLDC rpm select,500,23 Feb 2017 16:13:10:802  
BLDC rpm select,500,23 Feb 2017 16:13:11:67  
BLDC rpm select,500,23 Feb 2017 16:13:11:332  
BLDC rpm select,500,23 Feb 2017 16:13:11:597  
BLDC rpm select,500,23 Feb 2017 16:13:11:863  
BLDC rpm select,500,23 Feb 2017 16:13:12:128  
BLDC rpm select,500,23 Feb 2017 16:13:12:393  
BLDC rpm select,500,23 Feb 2017 16:13:12:658  
BLDC rpm select,500,23 Feb 2017 16:13:12:923  
BLDC rpm select,500,23 Feb 2017 16:13:13:189  
BLDC rpm select,500,23 Feb 2017 16:13:13:454  
BLDC rpm select,500,23 Feb 2017 16:13:13:719  
BLDC rpm select,500,23 Feb 2017 16:13:13:984  
BLDC rpm select,500,23 Feb 2017 16:13:14:249  
BLDC rpm select,500,23 Feb 2017 16:13:14:515  
BLDC rpm select,500,23 Feb 2017 16:13:14:780  
BLDC rpm select,500,23 Feb 2017 16:13:15:61  
BLDC rpm select,500,23 Feb 2017 16:13:15:310  
BLDC rpm select,500,23 Feb 2017 16:13:15:575  
BLDC rpm select,500,23 Feb 2017 16:13:15:841  
BLDC rpm select,500,23 Feb 2017 16:13:16:137  
BLDC rpm select,500,23 Feb 2017 16:13:16:371  
BLDC rpm select,500,23 Feb 2017 16:13:16:636  
BLDC rpm select,500,23 Feb 2017 16:13:16:901  
BLDC rpm select,500,23 Feb 2017 16:13:17:167  
BLDC rpm select,500,23 Feb 2017 16:13:17:432  
BLDC rpm select,500,23 Feb 2017 16:13:17:697  
BLDC rpm select,500,23 Feb 2017 16:13:17:962  
BLDC rpm select,500,23 Feb 2017 16:13:18:227  
BLDC rpm select,500,23 Feb 2017 16:13:18:493  
BLDC rpm select,500,23 Feb 2017 16:13:18:758  
BLDC rpm select,500,23 Feb 2017 16:13:19:23  
BLDC rpm select,500,23 Feb 2017 16:13:19:288  
BLDC rpm select,500,23 Feb 2017 16:13:19:553  
BLDC rpm select,500,23 Feb 2017 16:13:19:819  
BLDC rpm select,500,23 Feb 2017 16:13:20:84  
BLDC rpm select,500,23 Feb 2017 16:13:20:349  
BLDC rpm select,500,23 Feb 2017 16:13:20:614  
BLDC rpm select,500,23 Feb 2017 16:13:20:879  
BLDC rpm select,500,23 Feb 2017 16:13:21:145  
BLDC rpm select,500,23 Feb 2017 16:13:21:410  
BLDC rpm select,500,23 Feb 2017 16:13:21:675  
BLDC rpm select,500,23 Feb 2017 16:13:21:940  
BLDC rpm select,500,23 Feb 2017 16:13:22:205  
BLDC rpm select,500,23 Feb 2017 16:13:22:471  
BLDC rpm select,500,23 Feb 2017 16:13:22:736  
BLDC rpm select,500,23 Feb 2017 16:13:23:1  
BLDC rpm select,500,23 Feb 2017 16:13:23:266  
BLDC rpm select,500,23 Feb 2017 16:13:23:531  
BLDC rpm select,500,23 Feb 2017 16:13:23:797  
BLDC rpm select,500,23 Feb 2017 16:13:24:62  
BLDC rpm select,500,23 Feb 2017 16:13:24:327  
BLDC rpm select,500,23 Feb 2017 16:13:24:592  
BLDC rpm select,500,23 Feb 2017 16:13:24:857  
BLDC rpm select,500,23 Feb 2017 16:13:25:123  
BLDC rpm select,500,23 Feb 2017 16:13:25:388  
BLDC rpm select,500,23 Feb 2017 16:13:25:653  
BLDC rpm select,500,23 Feb 2017 16:13:25:918  
BLDC rpm select,500,23 Feb 2017 16:13:26:183  
BLDC rpm select,500,23 Feb 2017 16:13:26:449  
BLDC rpm select,500,23 Feb 2017 16:13:26:714  
BLDC rpm select,500,23 Feb 2017 16:13:26:979  
BLDC rpm select,500,23 Feb 2017 16:13:27:244  
BLDC rpm select,500,23 Feb 2017 16:13:27:509  
BLDC rpm select,500,23 Feb 2017 16:13:27:775  
BLDC rpm select,500,23 Feb 2017 16:13:28:40  
BLDC rpm select,500,23 Feb 2017 16:13:28:305  
BLDC rpm select,500,23 Feb 2017 16:13:28:570  
BLDC rpm select,500,23 Feb 2017 16:13:28:835  
BLDC rpm select,500,23 Feb 2017 16:13:29:101  
BLDC rpm select,500,23 Feb 2017 16:13:29:366  
BLDC rpm select,500,23 Feb 2017 16:13:29:631  
BLDC rpm select,500,23 Feb 2017 16:13:29:896  
BLDC rpm select,500,23 Feb 2017 16:13:30:161  
BLDC rpm select,500,23 Feb 2017 16:13:30:427  
BLDC rpm select,500,23 Feb 2017 16:13:30:692  
BLDC rpm select,500,23 Feb 2017 16:13:30:957  
BLDC rpm select,500,23 Feb 2017 16:13:31:222  
BLDC rpm select,500,23 Feb 2017 16:13:31:487  
BLDC rpm select,500,23 Feb 2017 16:13:31:753  
BLDC rpm select,500,23 Feb 2017 16:13:32:18  
BLDC rpm select,500,23 Feb 2017 16:13:32:283  
BLDC rpm select,500,23 Feb 2017 16:13:32:548  
BLDC rpm select,500,23 Feb 2017 16:13:32:813  
BLDC rpm select,500,23 Feb 2017 16:13:33:79  
BLDC rpm select,500,23 Feb 2017 16:13:33:344  
BLDC rpm select,500,23 Feb 2017 16:13:33:609  
BLDC rpm select,500,23 Feb 2017 16:13:33:874  
BLDC rpm select,500,23 Feb 2017 16:13:34:139  
BLDC rpm select,500,23 Feb 2017 16:13:34:405  
BLDC rpm select,500,23 Feb 2017 16:13:34:670  
BLDC rpm select,500,23 Feb 2017 16:13:34:935  
BLDC rpm select,500,23 Feb 2017 16:13:35:200  
BLDC rpm select,500,23 Feb 2017 16:13:35:465  
BLDC rpm select,500,23 Feb 2017 16:13:35:731  
BLDC rpm select,500,23 Feb 2017 16:13:35:996  
BLDC rpm select,500,23 Feb 2017 16:13:36:261  
BLDC rpm select,500,23 Feb 2017 16:13:36:526  
BLDC rpm select,500,23 Feb 2017 16:13:36:791  
BLDC rpm select,500,23 Feb 2017 16:13:37:57  
BLDC rpm select,500,23 Feb 2017 16:13:37:322  
BLDC rpm select,500,23 Feb 2017 16:13:37:587  
BLDC rpm select,500,23 Feb 2017 16:13:37:852  
BLDC rpm select,500,23 Feb 2017 16:13:38:117  
BLDC rpm select,500,23 Feb 2017 16:13:38:383  
BLDC rpm select,500,23 Feb 2017 16:13:38:648  
BLDC rpm select,500,23 Feb 2017 16:13:38:913  
BLDC rpm select,500,23 Feb 2017 16:13:39:178  
BLDC rpm select,500,23 Feb 2017 16:13:39:443  
BLDC rpm select,500,23 Feb 2017 16:13:39:709  
BLDC rpm select,500,23 Feb 2017 16:13:39:974  
BLDC rpm select,500,23 Feb 2017 16:13:40:239  
BLDC rpm select,500,23 Feb 2017 16:13:40:504  
BLDC rpm select,500,23 Feb 2017 16:13:40:769  
BLDC rpm select,500,23 Feb 2017 16:13:41:35  
BLDC rpm select,500,23 Feb 2017 16:13:41:300  
BLDC rpm select,500,23 Feb 2017 16:13:41:565  
BLDC rpm select,500,23 Feb 2017 16:13:41:830  
BLDC rpm select,500,23 Feb 2017 16:13:42:95  
BLDC rpm select,500,23 Feb 2017 16:13:42:361  
BLDC rpm select,500,23 Feb 2017 16:13:42:626  
BLDC rpm select,500,23 Feb 2017 16:13:42:891  
BLDC rpm select,500,23 Feb 2017 16:13:43:156  
BLDC rpm select,500,23 Feb 2017 16:13:43:421  
BLDC rpm select,500,23 Feb 2017 16:13:43:687  
BLDC rpm select,500,23 Feb 2017 16:13:43:952  
BLDC rpm select,200,23 Feb 2017 16:13:44:217  
BLDC rpm select,200,23 Feb 2017 16:13:44:482  
BLDC rpm select,200,23 Feb 2017 16:13:44:747  
BLDC rpm select,200,23 Feb 2017 16:13:45:13  
BLDC rpm select,200,23 Feb 2017 16:13:45:278  
BLDC rpm select,200,23 Feb 2017 16:13:45:543  
BLDC rpm select,200,23 Feb 2017 16:13:45:808  
BLDC rpm select,200,23 Feb 2017 16:13:46:73  
BLDC rpm select,200,23 Feb 2017 16:13:46:339  
BLDC rpm select,200,23 Feb 2017 16:13:46:604  
BLDC rpm select,200,23 Feb 2017 16:13:46:869  
BLDC rpm select,200,23 Feb 2017 16:13:47:134  
BLDC rpm select,200,23 Feb 2017 16:13:47:399  
BLDC rpm select,200,23 Feb 2017 16:13:47:665  
BLDC rpm select,200,23 Feb 2017 16:13:47:930  
BLDC rpm select,200,23 Feb 2017 16:13:48:195  
BLDC rpm select,200,23 Feb 2017 16:13:48:460  
