Tag Name,Value,Timestamp
BLDC rpm select,50,01 Mar 2017 16:00:46:363  
BLDC rpm select,50,01 Mar 2017 16:00:46:613  
BLDC rpm select,50,01 Mar 2017 16:00:46:863  
BLDC rpm select,50,01 Mar 2017 16:00:47:113  
BLDC rpm select,50,01 Mar 2017 16:00:47:364  
BLDC rpm select,50,01 Mar 2017 16:00:47:615  
BLDC rpm select,50,01 Mar 2017 16:00:47:863  
BLDC rpm select,50,01 Mar 2017 16:00:48:114  
BLDC rpm select,50,01 Mar 2017 16:00:48:364  
BLDC rpm select,50,01 Mar 2017 16:00:48:614  
BLDC rpm select,50,01 Mar 2017 16:00:48:864  
BLDC rpm select,50,01 Mar 2017 16:00:49:113  
BLDC rpm select,50,01 Mar 2017 16:00:49:363  
BLDC rpm select,50,01 Mar 2017 16:00:49:613  
BLDC rpm select,50,01 Mar 2017 16:00:49:863  
BLDC rpm select,50,01 Mar 2017 16:00:50:115  
BLDC rpm select,50,01 Mar 2017 16:00:50:363  
BLDC rpm select,50,01 Mar 2017 16:00:50:614  
BLDC rpm select,50,01 Mar 2017 16:00:50:864  
BLDC rpm select,50,01 Mar 2017 16:00:51:114  
BLDC rpm select,50,01 Mar 2017 16:00:51:364  
BLDC rpm select,50,01 Mar 2017 16:00:51:613  
BLDC rpm select,50,01 Mar 2017 16:00:51:863  
BLDC rpm select,50,01 Mar 2017 16:00:52:114  
BLDC rpm select,50,01 Mar 2017 16:00:52:363  
BLDC rpm select,50,01 Mar 2017 16:00:52:614  
BLDC rpm select,50,01 Mar 2017 16:00:52:864  
BLDC rpm select,50,01 Mar 2017 16:00:53:113  
BLDC rpm select,50,01 Mar 2017 16:00:53:364  
BLDC rpm select,50,01 Mar 2017 16:00:53:614  
BLDC rpm select,50,01 Mar 2017 16:00:53:863  
BLDC rpm select,50,01 Mar 2017 16:00:54:114  
BLDC rpm select,50,01 Mar 2017 16:00:54:363  
BLDC rpm select,50,01 Mar 2017 16:00:54:613  
BLDC rpm select,50,01 Mar 2017 16:00:54:864  
BLDC rpm select,50,01 Mar 2017 16:00:55:114  
BLDC rpm select,50,01 Mar 2017 16:00:55:363  
BLDC rpm select,50,01 Mar 2017 16:00:55:615  
BLDC rpm select,50,01 Mar 2017 16:00:55:864  
BLDC rpm select,50,01 Mar 2017 16:00:56:114  
BLDC rpm select,50,01 Mar 2017 16:00:56:365  
BLDC rpm select,50,01 Mar 2017 16:00:56:615  
BLDC rpm select,50,01 Mar 2017 16:00:56:864  
BLDC rpm select,50,01 Mar 2017 16:00:57:116  
BLDC rpm select,50,01 Mar 2017 16:00:57:364  
BLDC rpm select,50,01 Mar 2017 16:00:57:615  
BLDC rpm select,50,01 Mar 2017 16:00:57:865  
BLDC rpm select,50,01 Mar 2017 16:00:58:115  
BLDC rpm select,50,01 Mar 2017 16:00:58:365  
BLDC rpm select,50,01 Mar 2017 16:00:58:615  
BLDC rpm select,50,01 Mar 2017 16:00:58:864  
BLDC rpm select,50,01 Mar 2017 16:00:59:115  
BLDC rpm select,50,01 Mar 2017 16:00:59:364  
BLDC rpm select,50,01 Mar 2017 16:00:59:615  
BLDC rpm select,50,01 Mar 2017 16:00:59:865  
BLDC rpm select,50,01 Mar 2017 16:01:00:114  
BLDC rpm select,50,01 Mar 2017 16:01:00:365  
BLDC rpm select,50,01 Mar 2017 16:01:00:614  
BLDC rpm select,50,01 Mar 2017 16:01:00:865  
BLDC rpm select,50,01 Mar 2017 16:01:01:116  
BLDC rpm select,50,01 Mar 2017 16:01:01:364  
BLDC rpm select,50,01 Mar 2017 16:01:01:614  
BLDC rpm select,50,01 Mar 2017 16:01:01:864  
BLDC rpm select,50,01 Mar 2017 16:01:02:113  
BLDC rpm select,50,01 Mar 2017 16:01:02:364  
BLDC rpm select,50,01 Mar 2017 16:01:02:614  
BLDC rpm select,50,01 Mar 2017 16:01:02:864  
BLDC rpm select,50,01 Mar 2017 16:01:03:113  
BLDC rpm select,50,01 Mar 2017 16:01:03:363  
BLDC rpm select,50,01 Mar 2017 16:01:03:613  
BLDC rpm select,50,01 Mar 2017 16:01:03:864  
BLDC rpm select,50,01 Mar 2017 16:01:04:113  
BLDC rpm select,50,01 Mar 2017 16:01:04:364  
BLDC rpm select,50,01 Mar 2017 16:01:04:614  
BLDC rpm select,50,01 Mar 2017 16:01:04:863  
BLDC rpm select,50,01 Mar 2017 16:01:05:113  
BLDC rpm select,50,01 Mar 2017 16:01:05:363  
BLDC rpm select,50,01 Mar 2017 16:01:05:614  
BLDC rpm select,50,01 Mar 2017 16:01:05:864  
BLDC rpm select,50,01 Mar 2017 16:01:06:114  
BLDC rpm select,50,01 Mar 2017 16:01:06:363  
BLDC rpm select,50,01 Mar 2017 16:01:06:613  
BLDC rpm select,50,01 Mar 2017 16:01:06:864  
BLDC rpm select,50,01 Mar 2017 16:01:07:114  
BLDC rpm select,50,01 Mar 2017 16:01:07:364  
BLDC rpm select,50,01 Mar 2017 16:01:07:613  
BLDC rpm select,50,01 Mar 2017 16:01:07:864  
BLDC rpm select,50,01 Mar 2017 16:01:08:114  
BLDC rpm select,50,01 Mar 2017 16:01:08:365  
BLDC rpm select,50,01 Mar 2017 16:01:08:613  
BLDC rpm select,50,01 Mar 2017 16:01:08:864  
BLDC rpm select,50,01 Mar 2017 16:01:09:114  
BLDC rpm select,50,01 Mar 2017 16:01:09:364  
BLDC rpm select,50,01 Mar 2017 16:01:09:614  
BLDC rpm select,50,01 Mar 2017 16:01:09:865  
BLDC rpm select,50,01 Mar 2017 16:01:10:113  
BLDC rpm select,50,01 Mar 2017 16:01:10:364  
BLDC rpm select,50,01 Mar 2017 16:01:10:613  
BLDC rpm select,50,01 Mar 2017 16:01:10:863  
BLDC rpm select,50,01 Mar 2017 16:01:11:115  
BLDC rpm select,50,01 Mar 2017 16:01:11:363  
BLDC rpm select,50,01 Mar 2017 16:01:11:614  
BLDC rpm select,50,01 Mar 2017 16:01:11:863  
BLDC rpm select,50,01 Mar 2017 16:01:12:114  
BLDC rpm select,50,01 Mar 2017 16:01:12:364  
BLDC rpm select,50,01 Mar 2017 16:01:12:613  
BLDC rpm select,50,01 Mar 2017 16:01:12:863  
BLDC rpm select,50,01 Mar 2017 16:01:13:113  
BLDC rpm select,50,01 Mar 2017 16:01:13:364  
BLDC rpm select,50,01 Mar 2017 16:01:13:614  
BLDC rpm select,50,01 Mar 2017 16:01:13:864  
BLDC rpm select,50,01 Mar 2017 16:01:14:114  
BLDC rpm select,50,01 Mar 2017 16:01:14:364  
BLDC rpm select,50,01 Mar 2017 16:01:14:615  
BLDC rpm select,50,01 Mar 2017 16:01:14:865  
BLDC rpm select,50,01 Mar 2017 16:01:15:115  
BLDC rpm select,50,01 Mar 2017 16:01:15:364  
BLDC rpm select,50,01 Mar 2017 16:01:15:615  
BLDC rpm select,50,01 Mar 2017 16:01:15:865  
BLDC rpm select,50,01 Mar 2017 16:01:16:114  
BLDC rpm select,50,01 Mar 2017 16:01:16:365  
BLDC rpm select,50,01 Mar 2017 16:01:16:615  
BLDC rpm select,50,01 Mar 2017 16:01:16:865  
BLDC rpm select,50,01 Mar 2017 16:01:17:114  
BLDC rpm select,50,01 Mar 2017 16:01:17:364  
BLDC rpm select,50,01 Mar 2017 16:01:17:614  
BLDC rpm select,50,01 Mar 2017 16:01:17:865  
BLDC rpm select,50,01 Mar 2017 16:01:18:114  
BLDC rpm select,50,01 Mar 2017 16:01:18:366  
BLDC rpm select,50,01 Mar 2017 16:01:18:615  
BLDC rpm select,50,01 Mar 2017 16:01:18:865  
BLDC rpm select,50,01 Mar 2017 16:01:19:115  
BLDC rpm select,50,01 Mar 2017 16:01:19:365  
BLDC rpm select,50,01 Mar 2017 16:01:19:614  
BLDC rpm select,50,01 Mar 2017 16:01:19:865  
BLDC rpm select,50,01 Mar 2017 16:01:20:115  
BLDC rpm select,50,01 Mar 2017 16:01:20:365  
BLDC rpm select,50,01 Mar 2017 16:01:20:614  
BLDC rpm select,50,01 Mar 2017 16:01:20:864  
BLDC rpm select,50,01 Mar 2017 16:01:21:114  
BLDC rpm select,50,01 Mar 2017 16:01:21:364  
BLDC rpm select,50,01 Mar 2017 16:01:21:615  
BLDC rpm select,50,01 Mar 2017 16:01:21:865  
BLDC rpm select,50,01 Mar 2017 16:01:22:115  
BLDC rpm select,50,01 Mar 2017 16:01:22:364  
BLDC rpm select,50,01 Mar 2017 16:01:22:615  
BLDC rpm select,50,01 Mar 2017 16:01:22:865  
BLDC rpm select,50,01 Mar 2017 16:01:23:114  
BLDC rpm select,50,01 Mar 2017 16:01:23:365  
BLDC rpm select,50,01 Mar 2017 16:01:23:614  
BLDC rpm select,50,01 Mar 2017 16:01:23:864  
BLDC rpm select,50,01 Mar 2017 16:01:24:115  
BLDC rpm select,50,01 Mar 2017 16:01:24:364  
BLDC rpm select,50,01 Mar 2017 16:01:24:615  
BLDC rpm select,50,01 Mar 2017 16:01:24:864  
BLDC rpm select,50,01 Mar 2017 16:01:25:115  
BLDC rpm select,50,01 Mar 2017 16:01:25:364  
BLDC rpm select,50,01 Mar 2017 16:01:25:615  
